#compound	modifier	head	label
beutelabschneider	beutel	abschneider	OTHER
couponabschneider	coupon	abschneider	DEROGATORY
drahtabschneider	draht	abschneider	OTHER
fadenabschneider	faden	abschneider	OTHER
fettabschneider	fett	abschneider	OTHER
gardinenabschneider	gardine	abschneider	DEROGATORY
gedichteabschneider	gedicht	abschneider	OTHER
geldabschneider	geld	abschneider	DEROGATORY
gurgelabschneider	gurgel	abschneider	OTHER
haarabschneider	haar	abschneider	OTHER
halsabschneider	hals	abschneider	DEROGATORY
harfenabschneider	harfe	abschneider	OTHER
kapselabschneider	kapsel	abschneider	OTHER
kehlabschneider	kehl	abschneider	OTHER
kopfabschneider	kopf	abschneider	DEROGATORY
rohrabschneider	rohr	abschneider	OTHER
wortabschneider	wort	abschneider	DEROGATORY
wurstabschneider	wurst	abschneider	OTHER
zigarrenabschneider	zigarre	abschneider	OTHER
zopfabschneider	zopf	abschneider	DEROGATORY
amtsadvokat	amt	advokat	OTHER
armenadvokat	arm	advokat	OTHER
copyright-advokat	copyright	advokat	OTHER
datenschutz-advokat	datenschutz	advokat	OTHER
generaladvokat	general	advokat	OTHER
genetik-advokat	genetik	advokat	OTHER
gerichtadvokat	gericht	advokat	OTHER
hobbyadvokat	hobby	advokat	OTHER
hofgerichtsadvokat	hofgericht	advokat	OTHER
klima-advokat	klima	advokat	OTHER
landgerichtsadvokat	landgericht	advokat	OTHER
nutzeradvokat	nutzer	advokat	OTHER
reformadvokat	reform	advokat	OTHER
sammelklagen-advokat	sammelklage	advokat	OTHER
stadt-advokat	stadt	advokat	OTHER
teufels-advokat	teufel	advokat	OTHER
umweltadvokat	umwelt	advokat	OTHER
vereinadvokat	verein	advokat	OTHER
weinadvokat	wein	advokat	OTHER
winkeladvokat	winkel	advokat	DEROGATORY
akzent-akrobat	akzent	akrobat	OTHER
ballakrobat	ball	akrobat	OTHER
boden-akrobat	boden	akrobat	OTHER
fallschirmakrobat	fallschirm	akrobat	OTHER
feuerakrobat	feuer	akrobat	OTHER
fußballakrobat	fußball	akrobat	OTHER
gastakrobat	gast	akrobat	OTHER
gehirnakrobat	gehirn	akrobat	DEROGATORY
