#English_unigrams	German_translation	#label
Hun_noun	Inselaffe_noun	DEROGATORY
Jap_noun	Japse_noun	DEROGATORY
Jihadi_noun	?	DEROGATORY
Yardie_noun	?	DEROGATORY
abasement_noun	Demütigung_noun	OTHER
abhor_verb	verabscheuen_verb	DEROGATORY
abjure_verb	entsagen_verb	OTHER
abolish_verb	abschaffen_verb	OTHER
abominable_adj	abscheulig_adj	DEROGATORY
abomination_noun	Abscheulichkeit_noun	DEROGATORY
abscond_verb	entfliehen_verb	OTHER
absence_noun	Abwesenheit_noun	OTHER
absurdity_noun	Unding_noun	OTHER
abuse_noun	Misshandlung_noun	OTHER
abuse_verb	misshandeln_verb	OTHER
abusive_adj	ausfällig_adj	DEROGATORY
accost_verb	anpöbeln_verb	OTHER
accuse_verb	beschuldigen_verb	OTHER
addiction_noun	Suche_noun	OTHER
admonishment_noun	Mahnung_noun	OTHER
admonition_noun	Ermahnung_noun	OTHER
adulteration_noun	Verfälschung_noun	OTHER
adverse_adj	widrig_adj	OTHER
adversity_noun	Widrigkeit_noun	OTHER
affectation_noun	Affektiertheit_noun	OTHER
afflict_verb	heimsuchen_verb	OTHER
affront_noun	Affront_noun	DEROGATORY
affront_verb	kränken_verb	OTHER
afraid_adj	besorgt_adj	OTHER
aggravation_noun	Verschärfung_noun	OTHER
aggression_noun	Aggression_noun	OTHER
aggressor_noun	Aggressor_noun	OTHER
agitate_verb	hetzen_verb	OTHER
agitation_noun	Hetze_noun	OTHER
agitator_noun	Hetzer_noun	DEROGATORY
agonize_verb	quälen_verb	OTHER
agonizing_adj	quälend_adj	OTHER
ail_verb	wehtun_verb	OTHER
aimless_adj	ziellos_adj	OTHER
alarm_verb	alarmieren_verb	OTHER
alarming_adj	alarmierend_adj	OTHER
alienate_verb	entfremden_verb	OTHER
alienated_adj	entfremdet_adj	OTHER
alienation_noun	Entfremdung_noun	OTHER
allegation_noun	Vorwurf_noun	OTHER
aloof_adj	abgehoben_adj	DEROGATORY
ambiguity_noun	Mehrdeutigkeit_noun	OTHER
ambush_noun	Hinterhalt_noun	DEROGATORY
ambush_verb	auflauern_verb	OTHER
anarchist_noun	Anarchist_noun	DEROGATORY
anemic_adj	kraftlos_adj	OTHER
anger_noun	Ärger_noun	OTHER
angry_adj	verägert_adj	OTHER
animosity_noun	Feindseligkeit_noun	OTHER
annihilate_verb	ausmerzen_verb	DEROGATORY
annoyance_noun	Verärgerung_noun	OTHER
anomaly_noun	Anomalie_noun	OTHER
antagonism_noun	Antagonismus_noun	OTHER
antagonistic_adj	antagonistisch_adj	OTHER
antithetical_adj	antithetisch_adj	OTHER
anxiety_noun	Angst_noun	OTHER
anxiousness_noun	Ängstlichkeit_noun	OTHER
ape_verb	nachäffen_verb	OTHER
appal_verb	entsetzen_verb	OTHER
appalled_adj	entsetzt_adj	DEROGATORY
apprehension_noun	Festnahme_noun	OTHER
arcane_adj	geheimnisvoll_adj	OTHER
archaic_adj	archaisch_adj	OTHER
arrogance_noun	Arroganz_noun	DEROGATORY
arrogant_adj	arrogant_adj	DEROGATORY
arse_noun	Arsch_noun	DEROGATORY
ashamed_adj	beschämt_adj	DEROGATORY
asinine_adj	idiotisch_adj	DEROGATORY
aspersion_noun	?	OTHER
ass_noun	Dummkopf_noun	DEROGATORY
assassinate_verb	meucheln_verb	DEROGATORY
assault_noun	Überfall_noun	DEROGATORY
asshole_noun	Arschloch_noun	DEROGATORY
atrocity_noun	Gräuel_noun	DEROGATORY
attack_noun	Angriff_noun	OTHER
attack_verb	herfallen_verb	DEROGATORY
audaciousness_noun	Kühnheit_noun	OTHER
audacity_noun	Verwegenheit_noun	OTHER
austere_adj	streng_adj	OTHER
authoritarian_adj	autoritär_adj	OTHER
avarice_noun	Habgier_noun	DEROGATORY
avaricious_adj	habgierig_adj	DEROGATORY
aversion_noun	Abneigung_noun	OTHER
avoid_verb	vermeiden_verb	OTHER
avoidance_noun	Vermeidung_noun	OTHER
awful_adj	fürchterlich_adj	DEROGATORY
awfulness_noun	Schrecklichkeit_noun	DEROGATORY
awkward_adj	linkisch_adj	DEROGATORY
ax_verb	beschneiden_verb	OTHER
backbiting_noun	Verleumdung_noun	DEROGATORY
backward_adj	zurückgeblieben_adj	DEROGATORY
bad_adj	schlecht_adj	OTHER
bait_verb	ködern_verb	OTHER
balk_verb	scheuen_verb	OTHER
bampot_noun	Dumpfbacke_noun	DEROGATORY
banal_adj	banal_adj	OTHER
bankrupt_verb	bankrottgehen_verb	OTHER
bar_verb	versperren_verb	OTHER
barbaric_adj	barbarisch_adj	DEROGATORY
barbarous_adj	ungesittet_adj	DEROGATORY
barren_adj	kahl_adj	OTHER
bastard_noun	Bastard_noun	DEROGATORY
battle_verb	bekämpfen_verb	OTHER
battleground_noun	Schlachtfeld_noun	OTHER
beaner_noun	Bohnenfresser_noun	DEROGATORY
beast_noun	Bestie_noun	DEROGATORY
beastly_adj	saumäßig_adj	DEROGATORY
beg_verb	betteln_verb	OTHER
beguile_verb	betören_verb	OTHER
belittle_verb	schlechtmachen_verb	DEROGATORY
